x bio y src known treatment
8.435 -0.468 14.227 0 1 A
8.555 0.088 14.825 0 1 A
8.927 1.099 15.725 0 1 A
12.795 4.369 20.041 0 1 A
8.85 0.699 14.785 0 1 A
9.949 0.63 14.935 0 1 A
9.117 0.984 15.468 0 1 A
9.584 2.027 18.836 0 1 A
8.234 0.121 14.205 0 1 A
10.66 2.242 17.925 0 1 A
11.488 1.383 16.474 0 1 A
8.387 1.212 16.615 0 1 A
8.983 3.177 18.224 0 1 A
8.877 0.174 14.63 0 1 A
9.498 0.811 16.32 0 1 A
8.298 0.012 13.07 0 1 A
6.48 0.007 13.706 0 1 A
10.361 2.28 17.451 0 1 A
10.253 0.377 15.796 0 1 A
8.368 1.004 15.147 0 1 A
7.123 -1.203 11.987 0 1 A
9.928 0.562 15.215 0 1 A
7.792 0.693 15.855 0 1 A
8.377 0.733 15.056 0 1 A
7.351 0.987 15.503 0 1 A
8.784 0.598 15.557 0 1 A
7.908 -0.467 13.895 0 1 A
9.548 0.568 15.721 0 1 A
9.884 1.842 16.702 0 1 A
10.453 1.363 16.406 0 1 A
9.895 2.77 17.978 0 1 A
8.292 0.32 13.961 0 1 A
11.715 2.033 17.321 0 1 A
8.836 -0.113 14.716 0 1 A
11.518 -0.539 15.025 0 1 A
9.246 2.718 18.574 0 1 A
8.62 0.799 14.75 0 1 A
9.769 1.304 16.219 0 1 A
9.339 -0.773 14.646 0 1 A
10.579 2.651 18.159 0 1 A
10.207 2.593 18.326 0 1 A
10.299 2.052 17.35 0 1 A
9.189 2.11 17.945 0 1 A
8.099 -0.447 13.588 0 1 A
8.662 -0.1 15.361 0 1 A
8.182 0.737 15.806 0 1 A
11.513 1.909 16.964 0 1 A
7.773 1.2 16.375 0 1 A
9.704 0.544 15.647 0 1 A
9.043 -0.614 13.372 0 1 A
9.565 3.289 17.064 0 0 A
12.311 2.551 17.101 0 0 A
10.658 2.85 17.424 0 0 A
12.06 3.682 18.388 0 0 A
12.571 4.553 19.049 0 0 A
11.697 3.031 17.514 1 0 A
11.769 1.326 15.565 1 0 A
9.944 3.234 17.541 0 0 A
12.471 4.659 19.291 0 0 A
10.496 2.201 17.175 1 0 A
10.557 1.795 16.178 1 0 A
9.218 1.213 15.168 0 0 A
9.857 2.381 16.421 0 0 A
8.454 2.555 16.792 1 0 A
9.41 1.164 14.784 0 0 A
9.995 2.525 16.78 0 0 A
9.557 1.742 16.077 0 0 A
10.685 3.138 17.973 1 0 A
11.895 3.943 18.476 1 0 A
14.889 4.86 19.482 1 0 A
10.155 1.438 14.976 0 0 A
9.323 0.514 13.855 0 0 A
9.478 1.862 16.235 0 0 A
8.619 0.999 14.301 1 0 A
9.514 1.294 16.811 1 0 A
7.352 -0.704 12.257 1 0 A
11.303 3.822 19.048 0 0 A
10.956 1.681 16.907 1 0 A
9.881 2.393 16.799 0 0 A
11.698 0.643 14.884 0 0 A
10.765 0.242 13.986 0 0 A
10.457 1.466 15.384 1 0 A
10.461 1.841 15.894 1 0 A
11.382 2.849 18.622 1 0 A
9.142 1.692 16.363 1 0 A
9.855 1.192 15.021 0 0 A
10.182 2.407 17.801 1 0 A
9.291 0.839 14.399 1 0 A
9.852 -0.094 12.992 1 0 A
11.972 4.022 19.325 0 0 A
9.915 0.275 13.595 1 0 A
7.724 -0.595 14.513 1 0 A
10.549 2.62 18.25 0 0 A
10.579 2.283 16.206 1 0 A
9.756 1.999 15.629 0 0 A
10.012 1.188 14.733 1 0 A
7.199 -0.958 11.889 1 0 A
10.984 2.155 16.965 1 0 A
8.478 1.252 15.127 1 0 A
10.872 2.86 17.485 0 0 A
8.794 1.58 14.925 0 0 A
9.507 0.705 14.779 0 0 A
9.642 2.549 17.059 0 0 A
11.743 2.545 16.992 0 0 A
12.16 3.096 18.181 1 0 A
7.06 -0.019 14.746 1 0 A
10.213 2.595 17.163 0 0 A
9.524 0.581 15.819 1 0 A
9.344 3.111 16.899 1 0 A
6.086 -3.065 10.797 1 0 A
11.575 2.671 16.416 0 0 A
10.751 2.735 17.45 0 0 A
10.782 1.616 17.14 1 0 A
9.988 2.431 16.449 1 0 A
10.299 1.805 15.769 1 0 A
9.472 2.834 16.693 0 0 A
10.743 1.717 16.061 0 0 A
8.66 0.675 15.935 1 0 A
11.174 0.102 14.633 0 0 A
11.501 3.054 17.49 0 0 A
8.642 0.157 14.402 1 0 A
11.693 4.064 18.068 1 0 A
11.774 3.609 18.373 1 0 A
10.807 1.973 16.403 1 0 A
10.197 2.916 19.133 1 0 A
9.363 1.138 15.123 0 0 A
9.325 1.305 16.076 0 0 A
10.002 0.439 14.881 1 0 A
10.556 2.704 17.592 1 0 A
12.64 3.838 19.428 1 0 A
